test_action_loop.py	0	...........                                                              [100%]
test_action_loop_api.py	0	.                                                                        [100%]
test_actionable_granularity.py	0	.............                                                            [100%]
test_api.py	0	......                                                                   [100%]
test_contract.py	0	.....................                                                    [100%]
test_currentness.py	0	............                                                             [100%]
test_currentness_api.py	0	..                                                                       [100%]
test_delivery_quality.py	0	.............                                                            [100%]
test_eligibility.py	0	.................                                                        [100%]
test_milestones_management.py	0	............                                                             [100%]
test_multitype_opportunity_core.py	0	..........                                                               [100%]
test_operations.py	0	.........                                                                [100%]
test_personal_value.py	0	.............                                                            [100%]
test_qualification_compiler.py	0	...................                                                      [100%]
test_scout_import.py	0	.............................                                            [100%]
test_sg5_1_frontend_contract.py	0	..                                                                       [100%]
test_sg6_2_frontend_contract.py	0	...                                                                      [100%]
test_sg6_2_upgrade.py	0	...                                                                      [100%]
test_sg6_frontend_contract.py	0	..                                                                       [100%]
test_sg6_upgrade.py	0	.                                                                        [100%]
test_sg7_api.py	0	..                                                                       [100%]
test_sg7_founding_users.py	0	...                                                                      [100%]
test_sg7_frontend_contract.py	0	..                                                                       [100%]
test_sg7_lab.py	0	.....                                                                    [100%]
test_sg7_upgrade.py	0	..                                                                       [100%]
test_worker.py	0	...                                                                      [100%]
